Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,2308,1612,5533,6193,7545,86,9316,0.000%,2.74025,30.96,0.36
Login Credentials,750,4041,3750,7117,7834,9557,226,11155,0.000%,2.74285,104.09,0.84
Navigate UI,750,2879,2464,5920,6632,8140,115,9699,0.000%,2.74384,50.14,1.19
RepGET,750,16708,16476,22433,24511,28686,1609,31842,0.000%,2.72898,12186.56,1.67
TOTAL,3000,6484,4069,17448,19978,25221,86,31842,0.000%,10.86783,12316.33,4.03
