Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,530,212,1420,1977,2974,82,4034,0.000%,2.70090,30.52,0.35
Login Credentials,2500,1974,1857,3244,3695,4652,175,6466,0.000%,2.70162,102.53,0.83
Navigate UI,2500,944,708,1977,2481,3431,111,5322,0.000%,2.70167,49.37,1.17
RepGET,2500,13876,13573,18952,21182,25580,1483,32013,0.000%,2.69797,12048.39,1.65
TOTAL,10000,4331,1401,14358,16800,21985,82,32013,0.000%,10.78037,12217.49,4.00
