Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,500,113,95,167,220,310,80,394,0.000%,18.37897,212.87,2.39
Login Credentials,500,744,518,1522,1912,2740,224,3987,0.000%,18.43658,697.27,5.64
Sessions Internal APIs,500,931,621,2170,2799,3532,188,4945,0.000%,18.54462,877.61,7.15
TOTAL,1500,596,376,1448,2067,3244,80,4945,0.000%,54.08719,1743.89,14.81
