Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,105,96,128,162,241,78,427,0.000%,18.30255,212.03,2.38
Login Credentials,2500,697,504,1369,1801,2720,219,4048,0.000%,18.29706,691.97,5.59
Sessions Internal APIs,2500,819,572,1663,2173,3488,181,5926,0.000%,18.31891,866.93,7.07
TOTAL,7500,541,370,1268,1724,2745,78,5926,0.000%,54.73973,1764.96,14.99
