Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,272,274,452,500,610,85,781,0.000%,14.65940,165.63,1.90
Login Credentials,2500,572,571,809,885,1027,180,2399,0.000%,14.67972,557.08,4.49
Navigate UI,2500,448,454,679,748,916,121,1264,0.000%,14.74091,269.35,6.41
AppopintRepGET,2500,1169,1221,1591,1706,1984,226,2718,0.000%,14.73579,1251.55,7.45
TOTAL,10000,615,502,1288,1462,1747,85,2718,0.000%,58.43033,2226.98,20.10
