Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,229,162,470,531,702,81,889,0.000%,24.91943,281.57,3.24
Login Credentials,750,532,496,841,929,1127,196,1236,0.000%,25.51194,968.17,7.80
Navigate UI,750,387,320,714,800,968,114,1246,0.000%,25.62788,468.30,11.14
AppopintRepGET,750,1035,1027,1692,1840,2194,240,2459,0.000%,25.59989,2174.30,12.95
TOTAL,3000,546,421,1180,1466,1891,81,2459,0.000%,97.78039,3726.80,33.64
