Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,250,171,132,243,300,1036,110,1160,0.000%,8.10452,91.58,1.05
Login Credentials,250,429,406,633,745,888,192,1330,0.000%,8.14332,309.04,2.49
Navigate UI,250,236,207,348,395,1020,115,1291,0.000%,8.18545,149.57,3.56
Reg Report GET,250,1559,1521,2000,2258,2401,920,2714,0.000%,7.99258,23646.27,5.14
TOTAL,1000,599,300,1579,1845,2295,110,2714,0.000%,31.04626,23486.87,11.74
