Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,261,157,569,746,1129,105,2154,0.000%,10.83668,122.45,1.41
Login Credentials,2500,701,609,1249,1407,1698,172,2522,0.000%,10.85093,411.79,3.32
Navigate UI,2500,366,290,698,856,1149,110,1563,0.000%,10.85904,198.43,4.72
Reg Report GET,2500,2205,2082,3210,3447,3954,868,5332,0.000%,10.82481,32025.65,6.96
TOTAL,10000,883,494,2341,2883,3527,105,5332,0.000%,43.12129,32621.95,16.31
