Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,565,277,1378,1567,1920,111,2893,0.000%,11.99962,135.59,1.56
Login Credentials,750,1123,871,2204,2438,2898,188,3731,0.000%,12.02848,456.48,3.68
Navigate UI,750,683,435,1538,1694,1958,117,2315,0.000%,12.04877,220.17,5.24
Reg Report GET,750,2808,2721,4194,4384,4764,905,7205,0.000%,11.90042,35207.98,7.65
TOTAL,3000,1295,953,3054,3828,4478,111,7205,0.000%,47.03743,35584.66,17.79
