Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,500,269,158,606,695,1002,112,1347,0.000%,11.20900,126.65,1.46
Login Credentials,500,708,632,1221,1352,1562,193,1678,0.000%,11.25746,427.22,3.44
Navigate UI,500,370,307,731,830,988,108,1124,0.000%,11.29050,206.31,4.91
Reg Report GET,500,2196,2145,3074,3273,3694,874,4072,0.000%,11.10198,32845.49,7.13
TOTAL,2000,886,511,2383,2783,3346,108,4072,0.000%,43.67003,33036.89,16.51
