Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,105,98,125,167,241,79,420,0.000%,19.55921,226.55,2.54
Login Credentials,2500,721,591,1259,1632,2397,242,4244,0.000%,19.57208,740.19,5.98
Locations Internal APIs,2500,649,475,1345,1708,2607,132,4464,0.000%,19.58327,68.83,7.57
TOTAL,7500,492,345,1098,1466,2245,79,4464,0.000%,58.48044,1031.52,16.03
