Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,238,124,599,767,1015,78,1432,0.000%,20.50637,237.75,2.66
Login Credentials,750,1296,776,2986,3525,4487,240,9164,0.000%,20.66173,781.42,6.32
Locations Internal APIs,750,1103,631,2699,3234,4059,137,5155,0.000%,20.70165,72.76,8.01
TOTAL,2250,879,491,2442,3097,4131,78,9164,0.000%,60.71727,1071.23,16.64
