Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,1991,1447,4941,5925,7052,79,7914,0.000%,2.04987,23.16,0.27
Login Credentials,750,12712,7808,29946,34562,58132,216,92227,0.000%,2.04532,77.62,0.63
Navigate UI,750,1803,1253,4529,5390,6753,115,7929,0.000%,2.05112,37.48,0.89
Accom Rep GET,750,15425,11316,33579,40827,60795,2097,88898,0.000%,2.03949,32.68,1.00
TOTAL,3000,7983,3861,23040,31404,48703,79,92227,0.000%,8.11510,169.50,2.76
