Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,500,447,166,1378,2128,3294,78,4869,0.000%,1.98381,22.42,0.26
Login Credentials,500,10067,6554,24844,32341,44709,187,49795,0.000%,1.98629,75.38,0.61
Navigate UI,500,437,257,935,1927,3031,106,3941,0.000%,1.98772,36.32,0.86
Accom Rep GET,500,10326,7587,20796,28231,39940,2203,57315,0.000%,1.97142,31.59,0.97
TOTAL,2000,5319,1587,16061,23067,39033,78,57315,0.000%,7.85515,164.07,2.67
