Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,250,119,96,210,239,272,80,400,0.000%,2.17459,24.57,0.28
Login Credentials,250,2651,821,7076,11406,18654,172,26594,0.000%,2.17306,82.47,0.66
Navigate UI,250,239,228,395,405,517,113,687,0.000%,2.17493,39.74,0.95
Accom Rep GET,250,6705,5116,12632,16829,24006,1811,31414,0.000%,2.14417,34.36,1.05
TOTAL,1000,2428,328,6974,11085,19923,80,31414,0.000%,8.53504,178.27,2.90
