Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,430,129,1391,2060,3140,78,4897,0.000%,1.92596,21.76,0.25
Login Credentials,2500,11053,7933,24411,31343,47340,167,117227,0.000%,1.92661,73.11,0.59
Navigate UI,2500,431,235,946,1716,3306,105,4916,0.000%,1.92686,35.21,0.84
Accom Rep GET,2500,11897,8779,23281,29801,54759,2011,83979,0.000%,1.92106,30.79,0.94
TOTAL,10000,5953,1776,17713,24025,40882,78,117227,0.000%,7.67671,160.34,2.61
