Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,500,126,104,197,230,311,80,1245,0.000%,19.17546,222.17,2.49
Login Credentials,500,802,601,1576,2011,2564,227,3628,0.000%,19.25743,728.31,5.89
Speakers Internal APIs,500,792,554,1619,2188,3664,172,4582,0.000%,19.32890,185.72,7.46
TOTAL,1500,573,394,1361,1815,2974,80,4582,0.000%,56.56322,1112.68,15.48
