Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,2500,107,99,122,147,254,79,717,0.000%,18.68600,216.52,2.43
Login Credentials,2500,760,576,1420,1834,2695,223,4622,0.000%,18.72477,708.17,5.72
Speakers Internal APIs,2500,732,506,1558,1966,2899,157,4210,0.000%,19.07494,183.28,7.36
TOTAL,7500,533,352,1253,1682,2587,79,4622,0.000%,55.86967,1099.06,15.30
