Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Page,750,128,98,233,265,548,79,814,0.000%,20.27630,234.81,2.63
Login Credentials,750,1168,783,2498,3004,4668,252,5591,0.000%,20.28398,767.14,6.20
Speakers Internal APIs,750,1312,838,3019,3912,5180,171,7139,0.000%,20.32575,195.30,7.84
TOTAL,2250,869,477,2341,3013,4699,79,7139,0.000%,60.05124,1181.18,16.44
